CASE_NUMBER,VISA_STATUS,EMPLOYER_NAME,PREVAILING_WAGE_SUBMITTED,PREVAILING_WAGE_SUBMITTED_UNIT,PAID_WAGE_SUBMITTED,PAID_WAGE_SUBMITTED_UNIT,JOB_TITLE,WORK_CITY,PREVAILING_WAGE_SOC_CODE,PREVAILING_WAGE_SOC_TITLE,WORK_STATE,FULL_TIME_POSITION_Y_N,VISA_CLASS,JOB_TITLE_SUBGROUP,order,CASE_RECEIVED_DATE,Decision_Date,Processing_Time_Days
I-200-14072-875612,certified,CEDENT CONSULTING INC,29.99,hour,32.0,hour,SOFTWARE ENGINEER,FRISCO,15-1132,"Software Developers, Applications",TX,n,H-1B,software engineer,105790,13-Mar-14,03-Aug-15,508
I-200-13172-679106,certified,"UNIVERSITY OF CALIFORNIA, IRVINE",53670.0,year,54800.0,year,VISITING ASSISTANT PROFESSOR,IRVINE,25-1022,"Mathematical Science Teachers, Postsecondary",CA,y,H-1B,assistant professor,133232,21-Jun-13,27-Jun-13,6
I-200-13072-190058,denied,"RANDSTAD TECHNOLOGIES, LP",87006.0,year,85000.0,year,SOFTWARE ENGINEER,RESTON,15-1132,"Software Developers, Applications",VA,y,H-1B,software engineer,49309,14-Mar-13,19-Mar-13,5
I-200-10162-733652,certified,RUSSIAN HILL SCHOOL,37253.0,year,40000.0,year,"TEACHER, MULTICULTURAL CURRICULUM SPECIALIST",SAN FRANCISCO,25-2011,"Preschool Teachers, Except Special Education",CA,y,H-1B,teacher,160716,07-Dec-10,19-Apr-13,864
I-200-14356-632694,certified,VISION IT SERVICES USA INC,61422.0,year,62000.0,year,SOFTWARE ENGINEER,SOMERSET,15-1132,"Software Developers, Applications",NJ,y,H-1B,software engineer,109557,22-Dec-14,29-Dec-14,7
I-200-13213-071976,certified,"TWITTER, INC.",112674.0,year,160000.0,year,SENIOR SOFTWARE ENGINEER,SAN FRANCISCO,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,13321,08-Jan-13,08-Jul-13,181
I-200-14043-983909,certified,"TECHLIGENT SYSTEMS, INC",25.12,hour,30.0,hour,BUSINESS ANALYST,ORANGE,13-1111,Management Analysts,CA,n,H-1B,business analyst,135934,02-Dec-14,19-Feb-14,286
I-200-13029-787032,certified,"BROCADE COMMUNICATIONS SYSTEMS, INC.",100984.0,year,105000.0,year,SOFTWARE ENGINEER,SAN JOSE,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,24051,30-Jan-13,02-May-13,92
I-200-13087-187715,certified,"AGC NETWORKS, INC.",72571.0,year,72571.0,year,BUSINESS ANALYST,IRVING,13-1111,Management Analysts,TX,y,H-1B,business analyst,78623,28-Mar-13,04-Mar-13,24
I-200-14064-349731,certified,EMC CORPORATION,98675.0,year,106200.0,year,PRINCIPAL SOFTWARE ENGINEER,SANTA CLARA,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,28767,10-Mar-14,14-Mar-14,4
I-200-14078-782276,certified,ICONSOFT INC.,81141.0,year,90000.0,year,SENIOR SOFTWARE ENGINEER,MINNEAPOLIS,15-1035,"Software Developers, Applications, R&D",MN,y,H-1B,software engineer,59311,19-Mar-14,28-Mar-14,9
I-200-14163-635235,certified,"BLUE DANUBE LABS, INC.",110094.0,year,111000.0,year,SOFTWARE ENGINEER,MOUNTAIN VIEW,15-1133,"Software Developers, Systems Software",CA,y,H-1B,software engineer,15374,06-Dec-14,18-Jun-14,171
I-200-13091-673936,certified,"CARDINAL CUSHING CENTERS, INC.",43700.0,year,56925.0,year,SPECIAL EDUCATION/TECHNOLOGY TEACHER,HANOVER,25-2053,"Special Education Teachers, Middle School",MA,y,H-1B,teacher,151463,04-Oct-13,18-Mar-14,165
I-200-11278-534377,certified,UNIVERSITY OF PITTSBURGH PHYSICIANS,81994.0,year,121308.0,year,ASSISTANT PROFESSOR - PATHOLOGY,PITTSBURGH,29-1069,"Physicians and Surgeons, All Other",PA,y,H-1B,assistant professor,57572,10-Jul-11,14-Oct-11,96
I-200-13077-508194,certified,"DENTOPIA, INC.",29.12,hour,29.12,hour,BUSINESS ANALYST,Manassas,13-1111,Management Analysts,VA,n,H-1B,business analyst,112546,18-Mar-13,22-Mar-13,4
I-200-13098-971171,certified,"STONE BOND TECHNOLOGIES, L.P.",108867.0,year,125000.0,year,SENIOR SOFTWARE ENGINEER,HOUSTON,15-1132,"Software Developers, Applications",TX,y,H-1B,software engineer,18042,04-Sep-13,15-Apr-13,142
I-200-14079-166078,certified,NATIONAL CONSULTING GROUP INC,62442.0,year,63000.0,year,BUSINESS ANALYST,Piscataway,15-1121,Computer Systems Analysts,NJ,y,H-1B,business analyst,105338,20-Mar-14,26-Mar-14,6
I-200-12324-813722,certified,GOOGLE INC.,133328.0,year,150000.0,year,SOFTWARE ENGINEER,MOUNTAIN VIEW,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,3104,20-Nov-12,27-Nov-12,7
I-200-14105-005055,certified,"FUJITSU AMERICA, INC.",78150.0,year,78150.0,year,"COMPUTER SOFTWARE ENGINEER, APPLICATIONS",ASHBURN,15-1132,"Software Developers, Applications",VA,y,H-1B,software engineer,65128,15-Apr-14,23-Apr-14,8
I-200-14248-208990,certified,SYSTEM SOFT TECHNOLOGIES LLC,57949.0,year,61284.0,year,SOFTWARE ENGINEER,Jacksonville,15-1132,"Software Developers, Applications",FL,y,H-1B,software engineer,122215,09-May-14,09-Nov-14,184
A-14288-15883,certified,"JRD SYSTEMS, INC.",88296.0,year,88296.0,year,SOFTWARE ENGINEER,Clinton Township,15-1132,"Software Developers, Applications",MICHIGAN,,greencard,software engineer,45723,31-Oct-14,15-Apr-15,166
I-200-13091-564171,withdrawn,"MCAFEE, INC.",96034.0,year,96034.0,year,SOFTWARE ENGINEER,SANTA CLARA,15-1799,"Computer Occupations, All Other*",CA,y,H-1B,software engineer,32937,04-Mar-13,21-Oct-14,596
A-14022-34704,withdrawn,INTEL CORPORATION,127150.0,year,127150.0,year,SOFTWARE ENGINEER,SANTA CLARA,15-1133,"Software Developers, Systems Software",CALIFORNIA,,greencard,software engineer,5351,03-Jun-14,28-Oct-14,147
I-200-13352-569315,certified,NEOBYTES LLC,93267.0,year,93267.0,year,SR. SOFTWARE ENGINEER,LOS ANGELES,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,37526,18-Dec-13,24-Dec-13,6
A-14261-08372,certified,LINKEDIN CORPORATION,131269.0,year,140000.0,year,SENIOR SOFTWARE ENGINEER,MOUNTAIN VIEW,15-1132,"Software Developers, Applications",CALIFORNIA,,greencard,software engineer,4235,13-Oct-14,03-Dec-15,416
I-200-14258-451229,certified,HITACHI CONSULTING CORPORATION,73445.0,year,73445.0,year,SOFTWARE ENGINEER,NEW YORK,15-1132,"Software Developers, Applications",NY,y,H-1B,software engineer,76440,15-Sep-14,19-Sep-14,4
I-200-13122-712308,certified,"END TO END ANALYTICS, LLC",79102.0,year,79102.0,year,SUPPLY CHAIN MANAGEMENT CONSULTANT,PALO ALTO,15-2031,OPERATIONS RESEARCH ANALYSTS,CA,y,H-1B,management consultant,63669,05-Jul-13,13-May-13,53
I-200-15088-009988,withdrawn,UNDERWOOD UNIVERSITY INC.,39860.0,year,39680.0,year,ART TEACHER,Suwanee,25-1121,"Art, Drama, and Music Teachers, Postsecondary",GA,y,H-1B,teacher,157397,29-Mar-15,30-Mar-15,1
I-200-14217-807508,certified,ELMWOOD FRANKLIN SCHOOL INC.,33850.0,year,33850.0,year,PHYSICAL EDUCATION TEACHER,BUFFALO,25-3099,"Teachers and Instructors, All Other",NY,y,H-1B,teacher,163363,08-Jun-14,08-Dec-14,183
I-200-11279-634365,certified,UNIVERSITY OF FLORIDA,32200.0,year,150000.0,year,ASSISTANT PROFESSOR,GAINESVILLE,25-1071,"Health Specialties Teachers, Postsecondary",FL,y,H-1B,assistant professor,164409,10-Jun-11,13-Oct-11,125
I-200-13074-501575,certified,"SCANDENT GROUP, INC.",72093.0,year,72500.0,year,SOFTWARE ENGINEER,WALTHAM,15-1132,"Software Developers, Applications",MA,y,H-1B,software engineer,79933,19-Mar-13,25-Mar-13,6
I-200-15078-485980,certified,"ARGHA SERVICES, INC",57949.0,year,60000.0,year,SOFTWARE ENGINEER,ATLANTA,15-1132,"Software Developers, Applications",GA,y,H-1B,software engineer,122610,19-Mar-15,25-Mar-15,6
I-200-13070-565872,certified,"QUALCOMM ATHEROS, INC.",92838.0,year,92838.0,year,SOFTWARE ENGINEER,SANTA CLARA,15-1133,"Software Developers, Systems Software",CA,y,H-1B,software engineer,38290,03-Nov-13,15-Mar-13,233
I-200-10039-655707,certified,QUALCOMM INCORPORATED,79539.2,year,79539.2,year,SOFTWARE ENGINEER,SAN DIEGO,15-1032.00,"COMPUTER SOFTWARE ENGINEERS, SYSTEMS SOFTWARE",CA,y,H-1B,software engineer,62929,02-Nov-10,13-Dec-12,772
I-200-15064-148777,denied,TENAZX INC.,67829.0,year,68000.0,year,BUSINESS ANALYST,ROCKVILLE,15-1121,Computer Systems Analysts,MD,y,H-1B,business analyst,90781,03-May-15,16-Mar-15,48
I-200-11292-176082,certified,"COMSCORE, INC.",122928.0,year,130000.0,year,MANAGER-SOFTWARE ENGINEERING GROUP,RESTON,15-2031,OPERATIONS RESEARCH ANALYSTS,VA,y,H-1B,software engineer,6880,19-Oct-11,25-Oct-11,6
I-200-13053-062127,certified,"IBS SOFTWARE SERVICES AMERICAS, INC.",54600.0,year,56700.0,year,SENIOR BUSINESS ANALYST,HOUSTON,13-1111,Management Analysts,TX,y,H-1B,business analyst,131072,03-Nov-13,15-Mar-13,233
I-200-15061-790287,certified,MASIMO CORPORATION,69139.0,year,72000.0,year,ASSOCIATE SOFTWARE ENGINEER,IRVINE,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,88076,03-Apr-15,03-Oct-15,183
I-200-14334-386745,certified,"UNICOM TECHNOLOGIES, INC.",75046.0,year,75500.0,year,BUSINESS ANALYST - SYSTEMS,SAN FRANCISCO,15-1121,Computer Systems Analysts,CA,y,H-1B,business analyst,72241,12-Jan-14,12-May-14,120
I-200-15062-834447,certified,"ARGHA SERVICES, INC",57949.0,year,60000.0,year,SOFTWARE ENGINEER,Dunwoody,15-1132,"Software Developers, Applications",GA,y,H-1B,software engineer,122309,03-Mar-15,03-Sep-15,184
I-200-11075-487337,denied,MOHAMAD OBAIDY,17.0,hour,17.0,hour,EARLY CHILDHOOD EDUCATOR/ PRESCHOOL TEACHER,ROCKVILLE,11628,"Education Administrators, Preschool and Childcare",MD,y,H-1B,teacher,162201,11-Aug-11,11-Oct-11,61
I-200-13123-779371,certified,"STAPLES, INC.",69805.0,year,85000.0,year,SENIOR SOFTWARE ENGINEER,FRAMINGHAM,15-1132,"Software Developers, Applications",MA,y,H-1B,software engineer,86038,13-May-13,17-May-13,4
I-200-13259-037993,certified,"ATHOC, INC.",112674.0,year,129988.0,year,COMPUTER SOFTWARE ENGINEER,SAN MATEO,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,13533,16-Sep-13,24-Sep-13,8
I-200-14273-322973,certified,MULTIVISION INC.,57408.0,year,70000.0,year,SOFTWARE ENGINEER,DES MOINES,15-1132,"Software Developers, Applications",IA,y,H-1B,software engineer,124013,30-Sep-14,10-Jun-14,112
I-200-10323-450807,certified,"ALINDUS, INC.",42682.0,year,42682.0,year,SOFTWARE ENGINEER,TULSA,15-1031.00,"Computer Software Engineers, Applications",OK,y,H-1B,software engineer,153399,19-Nov-10,28-Nov-11,374
I-200-13058-933482,certified,HITACHI CONSULTING CORPORATION,68162.0,year,73000.0,year,SOFTWARE ENGINEER,DALLAS,15-1132,"Software Developers, Applications",TX,y,H-1B,software engineer,90092,27-Feb-13,23-May-13,85
I-200-15058-972650,certified,SLIVERBACK LEARNING SOLUTIONS,64251.0,year,65000.0,year,SOFTWARE ENGINEER,BOISE,15-1132,"Software Developers, Applications",ID,y,H-1B,software engineer,99210,03-Feb-15,03-Jun-15,120
I-200-14171-174530,certified,"AMERICAN EXPRESS TRS, COMPANY INC.",88733.0,year,97000.0,year,SOFTWARE ENGINEER,PHOENIX,15-1132,"Software Developers, Applications",AZ,y,H-1B,software engineer,44712,20-Jun-14,26-Jun-14,6
I-200-14127-161411,certified,UNIVERSITY OF VIRGINIA HEALTH SERVICES FOUNDATION,65.24,hour,112.5,hour,ASSISTANT PROFESSOR,CHARLOTTESVILLE,29-1069,"Physicians and Surgeons, All Other",VA,n,H-1B,assistant professor,1896,05-Jul-14,08-Jul-14,3
I-200-15009-326634,certified,"AXCIENT, INC.",109762.0,year,115000.0,year,SENIOR SOFTWARE ENGINEER,MOUNTAIN VIEW,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,16470,01-Sep-15,15-Jan-15,229
I-200-13067-065096,certified,"LIN, LI & MA",29560.0,year,29560.0,year,MUSIC TEACHER,SAN JOSE,25-3999,"Teachers and Instructors, All Other",CA,y,H-1B,teacher,165369,03-Aug-13,14-Mar-13,142
I-200-15068-680659,certified,"AUTODESK, INC.",114400.0,year,114400.0,year,SENIOR SOFTWARE ENGINEER,SAN FRANCISCO,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,12231,03-Nov-15,18-Mar-15,230
I-200-13094-926629,certified,"PHYTEL, INC.",81016.0,year,92162.0,year,SENIOR SOFTWARE ENGINEER,DALLAS,15-1132,"Software Developers, Applications",TX,y,H-1B,software engineer,59468,16-Apr-13,22-Apr-13,6
I-200-12270-095270,withdrawn,"APOLLO GROUP, INC.",92955.0,year,110298.41,year,"IT MANAGER, SOFTWARE ENGINEERING",TEMPE,Nov-21,COMPUTER AND INFORMATION SYSTEMS MANAGERS,AZ,y,H-1B,software engineer,38062,26-Sep-12,14-Jan-14,475
I-200-14167-424376,certified,MINNESOTA STATE UNIVERSITY MANKATO,71131.0,year,71131.0,year,ASSISTANT PROFESSOR ENGINEERING,MANKATO,25-1032,"Engineering Teachers, Postsecondary",MN,y,H-1B,assistant professor,83013,16-Jun-14,20-Jun-14,4
I-200-13263-084948,certified,RXLOGIX CORPORATION,95742.0,year,115000.0,year,SENIOR SOFTWARE ENGINEER,IRVINE,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,33239,20-Sep-13,18-Oct-13,28
I-200-11321-033798,certified,"ECI TELECOM, INC.",93704.0,year,113700.0,year,LEAD SOFTWARE ENGINEER,PITTSBURGH,15-1133,"Software Developers, Systems Software",PA,y,H-1B,software engineer,36369,17-Nov-11,23-Nov-11,6
I-200-12306-046994,withdrawn,THOUGHTFOCUS TECHNOLOGIES,68931.0,year,75000.0,year,SOFTWARE ENGINEER,WAUSAU,15-1132,"Software Developers, Applications",WI,y,H-1B,software engineer,88732,11-Feb-12,11-Feb-12,0
I-200-15040-100392,certified,"DATADOG, INC.",73445.0,year,85000.0,year,SOFTWARE ENGINEER,NEW YORK,15-1132,"Software Developers, Applications",NY,y,H-1B,software engineer,75976,02-Nov-15,18-Feb-15,257
I-200-15077-918908,certified,LOGIC PLANET INC,75046.0,year,75500.0,year,BUSINESS ANALYST,BURLINGAME,15-1121,Computer Systems Analysts,CA,y,H-1B,business analyst,72242,18-Mar-15,24-Mar-15,6
I-200-13073-935179,certified,SOFTSOL RESOURCES INC.,84802.0,year,84802.0,year,SOFTWARE ENGINEER,SAN JOSE,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,52829,14-Mar-13,20-Mar-13,6
I-200-13149-133931,certified,"INFOVISION, INC.",72093.0,year,72500.0,year,SOFTWARE ENGINEER,WALTHAM,15-1132,"Software Developers, Applications",MA,y,H-1B,software engineer,79939,29-May-13,06-Apr-13,53
I-200-10176-650114,certified,PROSER CORPORATION,77771.0,year,80000.0,year,BUSINESS ANALYST,BATON ROUGE,13-1111.00,Management Analysts,LA,y,H-1B,business analyst,65714,25-Jun-10,10-Jul-11,380
I-200-14321-230557,certified,VERGE MOBILE LLC,54912.0,year,72050.0,year,BUSINESS ANALYST,HOUSTON,13-1111,Management Analysts,TX,y,H-1B,business analyst,130509,18-Nov-14,24-Nov-14,6
I-200-14241-463464,certified,THE UNIVERSITY OF SOUTHERN CALIFORNIA,52440.0,year,109250.0,year,ASSISTANT PROFESSOR OF BIOCHEMISTRY & MOLECULAR BI,LOS ANGELES,25-1071,"Health Specialties Teachers, Postsecondary",CA,y,H-1B,assistant professor,135719,29-Aug-14,09-May-14,112
I-200-15084-689494,certified,ERESOURCES CONSULTANTS INC.,67288.0,year,67288.0,year,SOFTWARE ENGINEER,NAPERVILLE,15-1133,"Software Developers, Systems Software",IL,y,H-1B,software engineer,92195,25-Mar-15,31-Mar-15,6
I-200-13261-107252,certified,GOOGLE INC.,116605.0,year,127000.0,year,SOFTWARE ENGINEER,MOUNTAIN VIEW,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,9789,18-Sep-13,24-Sep-13,6
I-200-13102-034168,certified,"TWITTER, INC.",108888.0,year,120000.0,year,SOFTWARE ENGINEER,SAN FRANCISCO,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,17827,04-Dec-13,18-Apr-13,230
A-14224-97544,certified,"STORM8, INC.",73861.0,year,110000.0,year,SOFTWARE ENGINEER,REDWOOD CITY,15-1132,"Software Developers, Applications",CALIFORNIA,,greencard,software engineer,74785,08-Dec-14,26-Jan-15,49
I-200-15005-390578,certified,"INTERNATIONAL SCHOOL OF DENVER, INC.",17.68,hour,17.68,hour,BILINGUAL TEACHER,DENVER,25-2021,"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL",CO,n,H-1B,teacher,161067,01-Jul-15,13-Jan-15,169
I-200-13105-786194,certified,"WISDOM INFOTECH, LTD.",53789.0,year,80000.0,year,SOFTWARE ENGINEER,BROOKFIELD,15-1132,"Software Developers, Applications",WI,y,H-1B,software engineer,132955,15-Apr-13,19-Apr-13,4
I-200-13234-477022,certified,MICHIGAN STATE UNIVERSITY,66934.0,year,84000.0,year,ASSISTANT PROFESSOR,LANSING,17-2144,"Mechanical Engineers, R&D",MI,y,H-1B,assistant professor,93313,30-Aug-13,03-Apr-14,216
I-200-13294-286010,certified,"COMPU-VISION CONSULTING, INC.",77106.0,year,77250.0,year,SOFTWARE ENGINEER,PENNINGTON,15-1132,"Software Developers, Applications",NJ,y,H-1B,software engineer,67006,21-Oct-13,11-May-13,163
I-200-14177-167895,certified,DELPHI CORPORATION,60570.0,year,60570.0,year,"SOFTWARE ENGINEER, RESIM",Kokomo,15-1132,"Software Developers, Applications",IN,y,H-1B,software engineer,112518,26-Jun-14,07-Feb-14,139
I-200-14076-228599,certified,"HOROPPA LABS, LLC",80746.0,year,80746.0,year,SOFTWARE ENGINEER,SANTA CLARA,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,61132,19-Mar-14,25-Mar-14,6
I-200-13080-077086,certified,JPMORGAN CHASE & CO.,41683.0,year,54800.0,year,BUSINESS ANALYST,Lewisville,15-2031,OPERATIONS RESEARCH ANALYSTS,TX,y,H-1B,business analyst,155125,21-Mar-13,27-Mar-13,6
I-200-13069-093075,certified,INFINITE COMPUTER SOLUTIONS,60798.0,year,76000.0,year,LEAD SOFTWARE ENGINEER,NEW YORK,15-1799,"Computer Occupations, All Other",NY,y,H-1B,software engineer,111248,03-Oct-13,14-Mar-13,203
A-14129-68003,certified,EASTERN KENTUCKY UNIVERSITY,61750.0,year,94000.0,year,"Assistant Professor, Risk Management and Insurance",RICHMOND,25-1011,"Business Teachers, Postsecondary",KENTUCKY,,greencard,assistant professor,108146,07-Jul-14,12-Feb-14,145
I-200-13078-373802,certified,GOOGLE INC.,84802.0,year,100000.0,year,SOFTWARE ENGINEER,MOUNTAIN VIEW,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,52397,19-Mar-13,06-Nov-13,232
I-200-13353-791658,certified,INTEL CORPORATION,79134.0,year,79234.0,year,SOFTWARE ENGINEER,AUSTIN,15-1133,"Software Developers, Systems Software",TX,y,H-1B,software engineer,63538,02-Mar-14,02-Jul-14,122
I-200-13357-126833,certified,MULTIVISION INC.,72987.0,year,75000.0,year,SR. SOFTWARE ENGINEER,ALLENDALE,15-1132,"Software Developers, Applications",NJ,y,H-1B,software engineer,77727,23-Dec-13,09-Sep-14,260
I-200-13095-185766,certified,THE CITY COLLEGE OF NEW YORK,74133.0,year,74133.0,year,ASSISTANT PROFESSOR,NEW YORK,25-1126,"Philosophy and Religion Teachers, Postsecondary",NY,y,H-1B,assistant professor,73832,04-May-13,04-Nov-13,184
I-200-13055-805995,certified,"RADUS TEK SERVICES INC.,",46301.0,year,46301.0,year,BUSINESS ANALYST/FINANCIAL ANALYST,PITTSBURGH,13-2051,FINANCIAL ANALYSTS,PA,y,H-1B,business analyst,146519,24-Feb-13,28-Feb-13,4
I-200-14206-740765,certified,VALSATECH CORP,67974.0,year,70000.0,year,SOFTWARE ENGINEER,HUNT VALLEY,15-1132,"Software Developers, Applications",MD,y,H-1B,software engineer,90605,25-Jul-14,31-Jul-14,6
I-200-14100-013647,certified,INFOSTRETCH CORPORATION,73861.0,year,90000.0,year,SR. SOFTWARE ENGINEER,SAN FRANCISCO,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,74993,14-Apr-14,21-Apr-14,7
A-14246-03665,certified,GOOGLE INC.,98675.0,year,105000.0,year,SOFTWARE ENGINEER,MOUNTAIN VIEW,15-1132,"Software Developers, Applications",CALIFORNIA,,greencard,software engineer,28793,29-Sep-14,19-Feb-15,143
A-14217-95602,certified,EMERSON COLLEGE,56880.0,year,65000.0,year,ASSISTANT PROFESSOR,BOSTON,25-1011,"Business Teachers, Postsecondary",MASSACHUSETTS,,greencard,assistant professor,125569,08-Aug-14,01-Dec-15,480
I-200-14028-914944,certified,GOOGLE INC.,98675.0,year,105000.0,year,SOFTWARE ENGINEER,MOUNTAIN VIEW,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,28898,02-May-14,06-Dec-14,218
I-200-13226-749547,certified,JPMORGAN CHASE & CO.,60611.0,year,73440.0,year,BUSINESS ANALYST,NEWARK,15-1121,Computer Systems Analysts,DE,y,H-1B,business analyst,111989,14-Aug-13,20-Aug-13,6
I-200-14091-422856,certified,THE SCHOOL DISTRICT OF PALM BEACH COUNTY,51447.0,year,51447.0,year,TEACHER ESE AUTISTIC,GREENACRES,25-2059,"Special Education Teachers, All Other",FL,y,H-1B,teacher,137290,04-Jan-14,04-Jul-14,181
I-200-14118-444687,certified,ALOHA SOFT LLC,37.08,hour,37.08,hour,SOFTWARE ENGINEER,KAILUA-KONA,15-1132,"Software Developers, Applications",HI,n,H-1B,software engineer,66943,05-Aug-14,14-May-14,83
I-200-13066-363405,certified,"DIGERATI SYSTEMS, INC.",56118.0,year,60000.0,year,SOFTWARE ENGINEER,SALINE,15-1132,"Software Developers, Applications",MI,y,H-1B,software engineer,127211,03-Jul-13,13-Mar-13,112
I-200-15055-539519,certified,CLOUDWICK TECHNOLOGIES,72322.0,year,90000.0,year,HADOOP SOFTWARE ENGINEER,NEWARK,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,79087,26-Feb-15,03-Apr-15,36
I-200-13220-202460,certified,PIONEER TECHNOLOGIES INC,76773.0,year,82000.0,year,SENIOR PEOPLESOFT SOFTWARE ENGINEER,IRVING,15-1132,"Software Developers, Applications",TX,y,H-1B,software engineer,67761,08-Aug-13,23-Sep-13,46
I-200-15072-784236,certified,"INTEGRATED TECHNOLOGY SERVICES, INC.",32.51,hour,32.51,hour,BUSINESS ANALYST,HERNDON,15-1121,Computer Systems Analysts,VA,n,H-1B,business analyst,91431,13-Mar-15,19-Apr-15,37
I-200-14223-513115,certified,SYRACUSE CITY SCHOOL DISTRICT,42052.0,year,42052.0,year,ELEMENTARY TEACHER,SYRACUSE,25-2021,"Elementary School Teachers, Except Special Educati",NY,y,H-1B,teacher,154690,08-Nov-14,15-Aug-14,85
I-200-15007-371750,certified,UST GLOBAL INC.,52187.0,year,55744.0,year,BUSINESS ANALYST,KANSAS CITY,15-1121,Computer Systems Analysts,MO,y,H-1B,business analyst,136148,01-Jul-15,13-Jan-15,169
I-200-12363-101042,certified,GOOGLE INC.,112590.0,year,132000.0,year,SOFTWARE ENGINEER,SEATTLE,15-1132,"Software Developers, Applications",WA,y,H-1B,software engineer,14044,28-Dec-12,01-Apr-13,94
I-200-14115-496792,certified,"MAXLINEAR, INC.",109886.0,year,114149.0,year,STAFF SOFTWARE ENGINEER,CARLSBAD,15-1133,"Software Developers, Systems Software",CA,y,H-1B,software engineer,15771,05-Jan-14,05-Jul-14,181
I-200-13240-931872,certified,"PANASAS, INC.",127150.0,year,150000.0,year,SOFTWARE ENGINEER - PLATFORM,SUNNYVALE,15-1133,"Software Developers, Systems Software",CA,y,H-1B,software engineer,5225,09-Mar-13,09-Sep-13,184
I-200-13081-673615,certified,VALIDATION TRANSCRIPTION SERVICES. INC,55931.0,year,60000.0,year,BUSINESS ANALYST,FT. WASHINGTON,13-1111,Management Analysts,PA,y,H-1B,business analyst,128040,22-Mar-13,28-Mar-13,6
I-200-14126-979242,certified,NETGABLES INC.,101899.0,year,120000.0,year,SOFTWARE ENGINEER (DATABASE & APPLICATION SERVICES,KIRKLAND,15-1132,"Software Developers, Applications",WA,y,H-1B,software engineer,23044,05-Jul-14,13-May-14,53
I-200-15069-601089,certified,ASKLEPIAN INC,55099.0,year,60000.0,year,SOFTWARE ENGINEER,TAMPA,15-1132,"Software Developers, Applications",FL,y,H-1B,software engineer,130177,03-Oct-15,16-Mar-15,201
I-200-15055-545618,certified,MONSANTO COMPANY,90334.0,year,97006.0,year,GEOSPATIAL BUSINESS ANALYST,ST. LOUIS,15-1199,"Computer Occupations, All Other",MO,y,H-1B,business analyst,42352,25-Feb-15,03-Mar-15,6
I-200-14133-240930,certified,SBASE TECHNOLOGIES INC,29.99,hour,33.17,hour,SOFTWARE ENGINEER,RICHARDSON,15-1132,"Software Developers, Applications",TX,y,H-1B,software engineer,105780,13-May-14,26-Jun-14,44
I-200-14121-987886,certified,HOUSTON INDEPENDENT SCHOOL DISTRICT,43110.0,year,51464.0,year,MATH TEACHER,Bellaire,25-2031,"Secondary School Teachers, Except Special and Care",TX,y,H-1B,teacher,152297,05-Feb-14,05-Aug-14,181
I-200-13319-657307,certified,TDS TELECOMMUNICATIONS CORPORATION,81900.0,year,81900.0,year,SOFTWARE ENGINEER,Madison,15-1132,"Software Developers, Applications",WI,y,H-1B,software engineer,57662,15-Nov-13,21-Nov-13,6
I-200-13035-783518,certified,AMIGOS POR VIDA FRIENDS FOR LIFE HOUSING AND EDUCA,42940.0,year,49378.0,year,ELEMENTARY BILINGUAL TEACHER,HOUSTON,25-2021,"Elementary School Teachers, Except Special Educati",TX,y,H-1B,teacher,152638,13-Feb-13,20-Feb-13,7
I-200-13098-535526,certified,"BLUE BELT TECHNOLOGIES, INC.",53082.0,year,57750.0,year,SOFTWARE ENGINEER,PITTSBURGH,15-1132,"Software Developers, Applications",PA,y,H-1B,software engineer,134428,15-Apr-13,19-Apr-13,4
A-14296-18566,certified,CCH INCORPORATED,114837.0,year,114837.0,year,SOFTWARE ENGINEER III,TORRANCE,15-1132,"Software Developers, Applications",CALIFORNIA,,greencard,software engineer,11234,11-Jun-14,27-Apr-15,320
I-200-15070-076843,certified,MARS TECH SOLUTIONS LLC,65083.0,year,65083.0,year,SOFTWARE ENGINEER,Edison,15-1121,Computer Systems Analysts,NJ,y,H-1B,software engineer,96846,14-Mar-15,19-Apr-15,36
I-200-15066-440076,certified,DMEAUTOMOTIVE LLC,97864.0,year,97864.0,year,SENIOR SOFTWARE ENGINEER,Jacksonville,15-1132,"Software Developers, Applications",FL,y,H-1B,software engineer,30279,03-Nov-15,18-Mar-15,230
